"","term","taxon","rank","formula","estimate","std.error","statistic","p.value","p.adj.BY.rank","avg_abundance_SAM","avg_abundance_Stunting","prevalence_SAM","prevalence_Stunting"
"25","mal.typeStunting","Gammaproteobacteria Incertae Sedis","Order","`Gammaproteobacteria Incertae Sedis`~mal.type",0.0850365568489327,0.126828381127352,0.670485234401478,0.504607959727011,1,0,6.37363628697445e-06,0,0.0188679245283019
"26","mal.typeStunting","Legionellales","Order","`Legionellales`~mal.type",0.103904481377236,0.154969082160305,0.67048523440149,0.504607959727003,1,0,1.27472725739489e-05,0,0.0188679245283019
"27","mal.typeStunting","Xanthomonadales","Order","`Xanthomonadales`~mal.type",0.384675055322857,0.435019567602972,0.884270694862022,0.379376109936792,1,7.69297573183027e-05,0.000196161245821031,0.125,0.207547169811321
"28","mal.typeStunting","Burkholderiales","Order","`Burkholderiales`~mal.type",4.10500813259259,0.867213795200043,4.7335595389666,1.01764563402339e-05,0.000476244969353559,0.0253259297631263,0.0231351989031363,0.541666666666667,1
"29","mal.typeStunting","Enterobacterales","Order","`Enterobacterales`~mal.type",-1.72906772296499,1.0316662000682,-1.67599531985315,0.0979033621922924,1,0.1132651304242,0.0113374774611928,0.791666666666667,0.886792452830189
"30","mal.typeStunting","Cardiobacteriales","Order","`Cardiobacteriales`~mal.type",0.00891788323155965,0.466581400023864,0.0191132420433038,0.984801524723117,1,0.000572671056913947,0.000349568342513511,0.0833333333333333,0.132075471698113
"31","mal.typeStunting","Rhizobiales","Order","`Rhizobiales`~mal.type",0.904778441849028,0.847987622587793,1.06697128324577,0.289407352792198,1,0.00106227625648765,0.0084822563844254,0.458333333333333,0.509433962264151
"32","mal.typeStunting","Caulobacterales","Order","`Caulobacterales`~mal.type",0.0810242838440346,0.250986346512515,0.322823472152476,0.747727213281761,1,1.07972704500302e-05,2.91671859117677e-05,0.0416666666666667,0.0566037735849057
"33","mal.typeStunting","Rhodobacterales","Order","`Rhodobacterales`~mal.type",-0.00959582286601645,0.301480684928324,-0.0318289805806226,0.974692987270254,1,3.66873333675807e-05,3.32131640699184e-05,0.0833333333333333,0.0943396226415094
"34","mal.typeStunting","Sphingomonadales","Order","`Sphingomonadales`~mal.type",0.738000565885788,0.503644456232065,1.46532053863359,0.147013299030394,1,3.4893296050529e-05,0.000276496435170174,0.0833333333333333,0.207547169811321
"35","mal.typeStunting","Rhodospirillales","Order","`Rhodospirillales`~mal.type",0.105921749375659,0.157977750949596,0.670485234401485,0.504607959727006,1,0,1.37278320027142e-05,0,0.0188679245283019
"36","mal.typeStunting","Thermoanaerobaculales","Order","`Thermoanaerobaculales`~mal.type",0.116924541197831,0.126193102826027,0.92655254985707,0.357130936780378,1,0,5.54334507697553e-06,0,0.0377358490566038
"37","mal.typeStunting","Polyangiales","Order","`Polyangiales`~mal.type",0.119972173201845,0.126081351329434,0.951545743576091,0.344383920351451,1,0,5.22733379320074e-06,0,0.0377358490566038
"38","mal.typeStunting","Tistrellales","Order","`Tistrellales`~mal.type",0.0928011286766229,0.138408907333303,0.670485234401483,0.504607959727008,1,0,8.47750071310741e-06,0,0.0188679245283019
"39","mal.typeStunting","Ferrovibrionales","Order","`Ferrovibrionales`~mal.type",0.177717486410019,0.185764568174704,0.956681288343874,0.341801820870291,1,0,1.47916496000962e-05,0,0.0377358490566038
"40","mal.typeStunting","Reyranellales","Order","`Reyranellales`~mal.type",0.0593306190499286,0.0884890762775598,0.670485234401463,0.50460795972702,1,0,2.47890329352049e-06,0,0.0188679245283019
"41","mal.typeStunting","Veillonellales-Selenomonadales","Order","`Veillonellales-Selenomonadales`~mal.type",2.70706260082598,0.732781729425506,3.69422775175944,0.000416610860727202,0.0106346445863541,0.00437518334693566,0.00551208507005292,0.625,0.981132075471698
